,Red,Green,Blue,W1,Pot1,W2,Pot2,W3,Pot3,Fruit
75,113.0,75.0,63.0,252.5,152.0,224.0,152.0,57.0,152.0,4.0
76,119.0,73.0,60.0,365.0,175.0,151.0,175.0,169.0,175.0,4.0
77,131.5,67.5,55.0,65.5,290.0,171.0,290.0,91.0,290.0,4.0
78,110.0,77.0,64.0,183.0,258.5,219.0,258.5,30.5,258.5,4.0
79,108.0,78.0,64.0,306.5,259.5,226.5,259.5,31.5,259.5,4.0
80,113.0,75.0,63.0,271.0,262.0,232.0,262.0,52.0,262.0,4.0
81,119.0,73.0,60.0,362.5,222.0,194.5,222.0,177.0,222.0,4.0
82,133.0,67.0,54.0,88.0,167.0,209.0,167.0,83.5,167.0,4.0
83,114.0,77.0,61.0,297.0,216.0,238.5,216.0,182.5,216.0,4.0
84,116.0,75.0,61.0,351.5,198.5,93.0,198.5,99.5,198.5,4.0
85,112.0,73.0,61.0,363.5,252.0,115.0,252.0,186.0,252.0,4.0
86,110.0,78.0,62.0,291.0,223.0,166.0,223.0,155.0,223.0,4.0
87,122.5,71.0,59.0,393.0,217.0,202.5,217.0,169.0,217.0,4.0
88,112.0,73.0,61.0,352.0,251.0,111.5,251.0,186.0,251.0,4.0
89,131.0,68.0,55.0,69.5,168.0,184.5,168.0,99.0,168.0,4.0
90,131.0,68.0,55.0,68.5,229.0,178.0,229.0,93.0,229.0,4.0
91,107.5,78.0,65.0,313.0,261.5,214.5,261.5,16.5,261.5,4.0
92,111.0,73.0,62.0,321.0,252.0,176.0,252.0,231.5,252.0,4.0
93,122.0,71.0,59.0,369.5,216.5,184.5,216.5,217.5,216.5,4.0
94,110.0,77.0,64.0,282.5,260.0,199.5,260.0,26.0,260.0,4.0
0,107.0,78.0,64.0,104.5,192.5,59.0,192.5,30.0,192.5,5.0
1,114.0,75.0,62.0,262.0,255.0,42.5,255.0,64.0,255.0,5.0
2,104.0,81.0,65.0,59.0,251.0,91.5,251.0,76.5,251.0,5.0
3,110.0,77.0,63.0,120.0,168.0,71.5,168.0,55.0,168.0,5.0
4,107.0,78.0,64.0,84.0,169.0,32.0,169.0,47.0,169.0,5.0
5,107.0,78.0,64.0,68.0,169.0,13.5,169.0,35.5,169.0,5.0
6,110.0,77.0,63.0,128.5,168.0,77.0,168.0,45.5,168.0,5.0
7,111.0,78.0,63.0,201.5,261.0,81.0,261.0,63.0,261.0,5.0
8,106.0,78.0,65.0,82.5,169.5,24.5,169.5,24.0,169.5,5.0
9,110.0,77.0,64.0,196.0,192.5,63.5,192.5,233.0,192.5,5.0
10,104.0,81.0,65.0,70.5,252.0,89.0,252.0,68.0,252.0,5.0
11,111.0,78.0,63.0,181.0,255.0,113.5,255.0,67.5,255.0,5.0
12,111.0,78.0,63.0,172.5,254.5,114.5,254.5,69.0,254.5,5.0
13,111.0,76.0,64.0,172.5,228.5,68.5,228.5,200.5,228.5,5.0
14,110.0,77.0,63.0,136.0,168.0,72.5,168.0,41.0,168.0,5.0
15,112.0,76.0,63.0,258.0,277.5,99.0,277.5,69.0,277.5,5.0
16,118.0,76.0,64.0,211.0,253.0,87.5,253.0,74.5,253.0,5.0
17,110.0,77.0,64.0,187.5,193.0,59.5,193.0,208.0,193.0,5.0
18,114.0,75.0,63.0,233.5,286.0,49.5,286.0,59.0,286.0,5.0
19,111.0,78.0,63.0,169.5,255.5,111.5,255.5,75.0,255.5,5.0
20,103.0,82.0,65.0,107.5,152.0,114.0,152.0,77.0,152.0,5.0
21,113.0,76.0,63.0,190.0,281.0,85.5,281.0,45.0,281.0,5.0
22,109.0,77.0,64.0,161.0,193.0,74.5,193.0,52.0,193.0,5.0
23,111.0,78.0,63.0,181.0,201.0,110.5,201.0,67.0,201.0,5.0
24,111.0,76.0,63.0,244.0,156.0,94.0,156.0,50.5,156.0,5.0
25,107.0,78.0,64.0,70.5,168.0,10.5,168.0,31.0,168.0,5.0
26,107.0,78.0,64.0,79.0,168.0,29.0,168.0,22.5,168.0,5.0
27,110.0,77.0,64.0,219.5,156.5,59.0,156.5,238.0,156.5,5.0
28,111.0,78.0,63.0,171.5,252.0,122.5,252.0,73.5,252.0,5.0
29,106.0,79.0,65.0,99.0,169.5,29.5,169.5,13.5,169.5,5.0
30,107.0,78.0,64.0,72.5,169.0,41.5,169.0,31.5,169.0,5.0
31,108.0,78.0,64.0,105.0,264.5,55.5,264.5,48.0,264.5,5.0
32,109.0,77.0,64.0,261.5,283.5,57.5,283.5,28.5,283.5,5.0
33,112.0,76.0,64.0,239.5,273.5,64.5,273.5,66.5,273.5,5.0
34,111.0,78.0,63.0,169.0,257.0,125.0,257.0,70.0,257.0,5.0
35,112.0,76.0,63.0,210.0,270.0,112.0,270.0,40.0,270.0,5.0
36,111.0,76.0,63.0,154.0,156.0,117.5,156.0,117.0,156.0,5.0
37,110.0,77.0,63.0,132.0,169.0,75.5,169.0,56.5,169.0,5.0
38,111.0,77.0,64.0,256.5,152.0,63.5,152.0,54.0,152.0,5.0
39,110.0,77.0,64.0,220.0,230.5,68.0,230.5,234.0,230.5,5.0
40,113.0,76.0,63.0,216.5,272.5,104.5,272.5,60.0,272.5,5.0
41,111.0,76.0,63.0,175.5,204.5,79.5,204.5,153.5,204.5,5.0
42,106.0,79.0,65.0,74.5,169.0,19.0,169.0,35.5,169.0,5.0
43,105.0,80.0,64.0,104.5,202.5,47.0,202.5,93.5,202.5,5.0
44,113.0,78.0,65.0,257.0,252.0,44.0,252.0,97.0,252.0,5.0
45,110.0,77.0,64.0,195.0,226.5,87.5,226.5,70.5,226.5,5.0
46,109.0,78.0,64.0,113.5,168.5,60.5,168.5,40.0,168.5,5.0
47,111.0,76.0,63.0,219.5,218.5,59.0,218.5,249.0,218.5,5.0
48,103.0,81.0,65.0,45.5,233.5,108.0,233.5,76.5,233.5,5.0
49,110.0,77.0,64.0,200.0,207.0,91.5,207.0,217.5,207.0,5.0
50,110.0,77.0,64.0,235.5,232.5,24.0,232.5,259.5,232.5,5.0
51,111.0,77.0,64.0,257.5,252.0,59.5,252.0,59.0,252.0,5.0
52,113.0,78.0,65.0,286.0,252.0,51.5,252.0,92.0,252.0,5.0
53,110.0,78.0,64.0,171.5,260.0,77.5,260.0,49.5,260.0,5.0
54,111.0,78.0,63.0,170.5,258.0,125.5,258.0,76.5,258.0,5.0
55,110.0,77.0,63.0,138.0,168.0,99.0,168.0,46.5,168.0,5.0
56,103.0,81.0,65.0,51.5,249.0,93.0,249.0,75.5,249.0,5.0
57,108.0,78.0,64.0,137.0,168.5,67.5,168.5,24.0,168.5,5.0
58,105.0,79.0,66.0,273.5,152.5,46.0,152.5,33.5,152.5,5.0
59,109.0,77.0,64.0,267.5,153.0,58.0,153.0,45.0,153.0,5.0
60,106.0,79.0,65.0,71.5,168.5,32.0,168.5,37.0,168.5,5.0
61,111.0,77.0,63.0,192.0,255.0,124.0,255.0,68.0,255.0,5.0
62,104.0,81.0,65.0,133.5,152.5,20.0,152.5,77.5,152.5,5.0
63,111.0,76.0,64.0,194.5,191.5,94.0,191.5,197.0,191.5,5.0
64,108.0,78.0,64.0,92.0,168.0,43.5,168.0,51.0,168.0,5.0
65,110.0,77.0,63.0,134.5,198.0,78.0,198.0,63.0,198.0,5.0
66,102.0,82.0,65.0,88.0,245.0,132.0,245.0,148.5,245.0,5.0
67,108.0,78.0,64.0,103.0,168.0,43.5,168.0,45.5,168.0,5.0
68,107.0,78.0,64.0,59.0,169.0,43.5,169.0,48.0,169.0,5.0
69,109.0,78.0,64.0,111.0,170.0,88.0,170.0,46.0,170.0,5.0
70,104.0,81.0,64.0,64.5,154.5,69.0,154.5,63.0,154.5,5.0
71,103.0,82.0,65.0,58.0,153.0,80.0,153.0,79.0,153.0,5.0
72,108.0,78.0,64.0,94.5,169.0,49.5,169.0,47.5,169.0,5.0
73,107.0,78.0,64.0,77.0,169.0,16.0,169.0,40.5,169.0,5.0
74,111.0,78.0,63.0,170.5,147.5,132.0,147.5,73.5,147.5,5.0
75,111.0,76.0,63.0,114.5,169.0,98.0,169.0,44.5,169.0,5.0
76,108.0,78.0,64.0,97.5,168.5,66.0,168.5,46.5,168.5,5.0
77,108.0,78.0,64.0,70.0,210.0,47.5,210.0,59.0,210.0,5.0
78,111.0,76.0,64.0,219.0,276.0,126.0,276.0,46.0,276.0,5.0
79,111.0,77.0,63.0,127.5,168.5,87.5,168.5,52.5,168.5,5.0
80,111.0,78.0,63.0,176.5,256.5,121.0,256.5,71.0,256.5,5.0
81,110.0,77.0,63.0,141.0,168.5,74.0,168.5,29.5,168.5,5.0
